Plate.ID,Worm,Strain,Treatment,Death.Date,Cause ,D1,Age ,Event,Exp
12,9,SKN,DAF-2,15-May,D,14-Apr,31,1,0
12,10,SKN,DAF-2,18-May,D,14-Apr,34,1,0
13,1,SKN,DAF-2,26-Apr,M,14-Apr,12,1,0
13,2,SKN,DAF-2,30-Apr,W,14-Apr,16,0,0
13,3,SKN,DAF-2,30-Apr,M,14-Apr,16,1,0
13,4,SKN,DAF-2,2-May,M,14-Apr,18,1,0
13,5,SKN,DAF-2,2-May,M,14-Apr,18,1,0
13,6,SKN,DAF-2,2-May,M,14-Apr,18,1,0
13,7,SKN,DAF-2,2-May,M,14-Apr,18,1,0
13,8,SKN,DAF-2,8-May,M,14-Apr,24,1,0
13,9,SKN,DAF-2,17-May,D,14-Apr,33,1,0
13,10,SKN,DAF-2,21-May,D,14-Apr,37,1,0
14,1,SKN,DAF-2,27-Apr,M,14-Apr,13,1,0
14,2,SKN,DAF-2,28-Apr,M,14-Apr,14,1,0
14,3,SKN,DAF-2,30-Apr,M,14-Apr,16,1,0
14,4,SKN,DAF-2,1-May,M,14-Apr,17,1,0
14,5,SKN,DAF-2,2-May,M,14-Apr,18,1,0
14,6,SKN,DAF-2,3-May,M,14-Apr,19,1,0
14,7,SKN,DAF-2,5-May,M,14-Apr,21,1,0
14,8,SKN,DAF-2,11-May,D,14-Apr,27,1,0
14,9,SKN,DAF-2,20-May,D,14-Apr,36,1,0
14,10,SKN,DAF-2,20-May,D,14-Apr,36,1,0
15,1,SKN,EV,26-Apr,M,14-Apr,12,1,0
15,2,SKN,EV,27-Apr,M,14-Apr,13,1,0
15,3,SKN,EV,27-Apr,M,14-Apr,13,1,0
15,4,SKN,EV,28-Apr,M,14-Apr,14,1,0
15,5,SKN,EV,29-Apr,M,14-Apr,15,1,0
15,6,SKN,EV,1-May,M,14-Apr,17,1,0
15,7,SKN,EV,3-May,M,14-Apr,19,1,0
15,8,SKN,EV,10-May,D,14-Apr,26,1,0
15,9,SKN,EV,10-May,D,14-Apr,26,1,0
15,10,SKN,EV,13-May,D,14-Apr,29,1,0
16,1,SKN,DAF-2,28-Apr,M,14-Apr,14,1,0
16,2,SKN,DAF-2,29-Apr,M,14-Apr,15,1,0
16,3,SKN,DAF-2,30-Apr,M,14-Apr,16,1,0
16,4,SKN,DAF-2,30-Apr,M,14-Apr,16,1,0
16,5,SKN,DAF-2,3-May,M,14-Apr,19,1,0
16,6,SKN,DAF-2,8-May,D,14-Apr,24,1,0
16,7,SKN,DAF-2,15-May,D,14-Apr,31,1,0
16,8,SKN,DAF-2,18-May,D,14-Apr,34,1,0
16,9,SKN,DAF-2,18-May,D,14-Apr,34,1,0
16,10,SKN,DAF-2,21-May,D,14-Apr,37,1,0
17,1,SKN,DAF-2,21-Apr,L,14-Apr,7,0,0
17,2,SKN,DAF-2,24-Apr,M,14-Apr,10,1,0
17,3,SKN,DAF-2,25-Apr,M,14-Apr,11,1,0
17,4,SKN,DAF-2,26-Apr,M,14-Apr,12,1,0
17,5,SKN,DAF-2,26-Apr,M,14-Apr,12,1,0
17,6,SKN,DAF-2,27-Apr,M,14-Apr,13,1,0
17,7,SKN,DAF-2,29-Apr,M,14-Apr,15,1,0
17,8,SKN,DAF-2,6-May,M,14-Apr,22,1,0
17,9,SKN,DAF-2,12-May,D,14-Apr,28,1,0
17,10,SKN,DAF-2,13-May,D,14-Apr,29,1,0
18,1,SKN,DAF-2,22-Apr,W,14-Apr,8,0,0
18,2,SKN,DAF-2,24-Apr,M,14-Apr,10,1,0
18,3,SKN,DAF-2,24-Apr,M,14-Apr,10,1,0
